# spike	reduction-tree-width-excursion
# mode	TreeWidthExcursion
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_apple9	true
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	2.97 4.33 4.66
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	production	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
16384	780	12779520	single-workgroup-tree	156	5	-	156	624	2	30	64	788.708	839.500	917.000	45.156	41027.584	41108.708	41431.167	150.518	638.7123	639.1938	3.1059	measured
16384	780	12779520	single-workgroup-tree	195	4	-	195	784	2	30	64	822.125	878.375	916.667	43.729	43417.917	43514.958	43610.458	92.110	676.1237	676.7712	2.1562	measured
16384	780	12779520	single-workgroup-tree	260	3	production	260	1040	2	30	64	799.833	857.542	918.167	42.843	41924.667	42042.708	42133.500	98.335	652.7751	653.7328	2.2409	measured
16384	780	12779520	single-workgroup-tree	390	2	-	390	1568	2	30	64	1122.750	1196.042	1232.458	36.277	62701.375	62821.000	62994.208	105.188	977.4385	978.1739	2.2455	measured
4	1042	4168	single-workgroup-tree	2	521	production	2	16	2	30	64	147.125	176.750	188.333	121.287	671.584	753.667	849.625	68.271	8.3247	9.1574	3.0089	measured
4	1042	4168	single-workgroup-tree	521	2	-	521	2096	2	30	64	145.000	170.250	196.417	85.519	551.750	621.959	701.459	49.962	6.4563	7.1700	2.1505	measured
16384	1042	17072128	single-workgroup-tree	2	521	production	2	16	2	30	64	1065.416	1114.125	1149.834	35.387	58120.834	58252.042	58430.792	101.295	905.6416	906.9511	2.1696	measured
16384	1042	17072128	single-workgroup-tree	521	2	-	521	2096	2	30	64	1057.791	1112.584	1185.250	41.073	57461.375	57567.042	57712.042	101.896	895.2950	896.1025	2.2694	measured

# shapes	6
# variants_attempted	52
# variants_measured	52
# variants_declined	0
# load_after	3.03 4.15 4.57
