# spike	reduction-tree-width-interactions
# mode	TreeWidthInteractions
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_apple9	true
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# concurrent_build_processes_before	0
# executable_sha256_before	f9bac263c0a140f5843667550a0b5373cc7a21c784dbefb79f837bf4fc6c7b29
# load_before	4.33 3.79 3.75
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	production	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
8	900	7200	single-workgroup-tree	5	180	-	5	32	2	30	64	114.083	155.125	189.666	34.752	1235.583	1410.750	1489.708	77.527	17.8016	19.9306	1.7822	measured
8	900	7200	single-workgroup-tree	6	150	-	6	32	2	30	64	130.208	153.083	192.417	29.479	1137.250	1375.417	1440.875	96.536	15.9848	19.4021	2.0002	measured
8	900	7200	single-workgroup-tree	9	100	-	9	48	2	30	64	118.417	135.041	162.500	35.307	409.417	470.583	517.459	33.881	4.6190	5.3261	1.0982	measured
8	900	7200	single-workgroup-tree	10	90	-	10	48	2	30	64	116.000	143.375	173.583	22.242	841.417	889.083	949.791	40.349	11.5146	11.8366	0.9935	measured
8	900	7200	single-workgroup-tree	12	75	-	12	48	2	30	64	115.625	128.625	160.500	20.106	590.042	664.042	722.750	45.069	7.5304	8.4987	1.0345	measured
8	900	7200	single-workgroup-tree	15	60	-	15	64	2	30	64	113.792	135.833	182.792	51.897	628.500	694.542	787.708	65.360	8.1700	8.8684	1.8612	measured
8	900	7200	single-workgroup-tree	18	50	-	18	80	2	30	64	113.625	133.959	170.375	21.363	373.792	445.458	488.583	41.568	4.1296	4.9444	0.9989	measured
8	900	7200	single-workgroup-tree	20	45	-	20	80	2	30	64	113.500	134.292	169.458	31.338	333.917	371.667	424.625	33.117	3.4987	3.7679	1.0231	measured
8	900	7200	single-workgroup-tree	25	36	-	25	112	2	30	64	114.166	135.333	168.125	18.672	353.667	395.375	444.208	28.362	3.8016	4.1277	0.7466	measured
8	900	7200	single-workgroup-tree	30	30	-	30	128	2	30	64	112.916	134.292	173.459	22.155	553.500	601.750	717.959	61.739	6.9934	7.4200	1.3317	measured
8	900	7200	single-workgroup-tree	36	25	-	36	144	2	30	64	107.625	129.167	177.875	23.188	332.917	385.166	427.208	31.891	3.5761	4.0635	0.8743	measured
8	900	7200	single-workgroup-tree	45	20	-	45	192	2	30	64	110.958	136.250	185.166	35.791	322.042	362.833	411.583	29.932	3.3505	3.5966	1.0432	measured
8	900	7200	single-workgroup-tree	50	18	-	50	208	2	30	64	113.541	131.000	176.958	25.292	337.833	385.708	446.583	43.838	3.5602	4.0430	1.0973	measured
