# spike	reduction-tree-width-interactions
# mode	TreeWidthInteractions
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_apple9	true
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# concurrent_build_processes_before	0
# executable_sha256_before	f9bac263c0a140f5843667550a0b5373cc7a21c784dbefb79f837bf4fc6c7b29
# load_before	3.14 3.58 3.68
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	production	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
8	900	7200	single-workgroup-tree	6	150	-	6	32	2	30	64	136.000	164.459	193.708	31.890	1164.750	1226.375	1393.125	96.175	16.3294	16.8558	2.0328	measured
8	900	7200	single-workgroup-tree	9	100	-	9	48	2	30	64	119.167	144.166	190.541	50.828	404.709	460.208	501.792	35.661	4.5324	5.0165	1.3729	measured
8	900	7200	single-workgroup-tree	10	90	-	10	48	2	30	64	111.667	157.875	180.208	35.864	828.792	891.375	942.834	32.762	11.3829	11.6429	1.0893	measured
8	900	7200	single-workgroup-tree	12	75	-	12	48	2	30	64	115.250	143.708	187.541	40.193	570.333	641.042	702.375	40.597	7.2235	7.8942	1.2824	measured
8	900	7200	single-workgroup-tree	15	60	-	15	64	2	30	64	118.041	149.916	163.500	18.189	612.750	671.250	754.167	43.854	7.8525	8.2751	0.9848	measured
8	900	7200	single-workgroup-tree	18	50	-	18	80	2	30	64	114.791	151.584	193.583	41.076	368.417	427.542	469.625	48.981	4.0258	4.3803	1.4295	measured
8	900	7200	single-workgroup-tree	20	45	-	20	80	2	30	64	114.542	146.958	173.417	20.449	331.583	366.042	430.667	38.041	3.4451	3.4775	0.9284	measured
8	900	7200	single-workgroup-tree	25	36	-	25	112	2	30	64	118.583	150.125	167.917	18.236	346.458	385.250	423.334	25.451	3.6171	3.7321	0.6934	measured
8	900	7200	single-workgroup-tree	30	30	-	30	128	2	30	64	115.084	151.291	175.625	21.476	554.292	582.833	708.208	61.656	6.9716	6.8499	1.3196	measured
8	900	7200	single-workgroup-tree	36	25	-	36	144	2	30	64	116.167	153.542	177.000	20.518	325.584	363.750	438.875	34.703	3.3241	3.3366	0.8765	measured
8	900	7200	single-workgroup-tree	45	20	-	45	192	2	30	64	110.375	152.625	175.584	31.210	315.375	360.750	429.334	49.724	3.2540	3.3036	1.2847	measured
8	900	7200	single-workgroup-tree	50	18	-	50	208	2	30	64	118.500	149.500	182.000	23.696	316.083	371.166	422.875	36.253	3.1362	3.5185	0.9516	measured
8	900	7200	single-workgroup-tree	60	15	-	60	240	2	30	64	115.250	150.417	181.833	33.271	476.500	525.709	582.250	39.226	5.7341	5.9570	1.1508	measured
8	900	7200	single-workgroup-tree	75	12	-	75	304	2	30	64	116.459	152.083	189.416	28.520	427.250	461.958	521.500	53.652	4.9332	4.9187	1.3043	measured
8	900	7200	single-workgroup-tree	90	10	-	90	368	2	30	64	112.875	150.459	174.833	26.744	578.666	626.375	752.250	58.937	7.3935	7.5542	1.3600	measured
8	900	7200	single-workgroup-tree	100	9	-	100	400	2	30	64	116.583	151.916	181.083	23.167	352.666	416.959	481.750	48.022	3.7473	4.2070	1.1300	measured
8	900	7200	single-workgroup-tree	150	6	-	150	608	2	30	64	116.625	152.000	190.666	34.107	755.500	808.167	909.042	54.243	10.1409	10.4153	1.4024	measured
