# spike	reduction-partition-calibration
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	2.89 3.15 3.76
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	governed	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
64	8192	524288	single-workgroup-tree	256	32	-	256	1024	2	30	64	175.916	218.583	230.042	16.463	2025.958	2212.625	2251.292	77.309	29.3657	31.6515	1.4884	measured
64	8192	524288	single-workgroup-tree	512	16	-	512	2048	2	30	64	173.500	222.333	230.542	16.055	2136.209	2321.541	2368.167	78.924	31.1541	33.3208	1.5076	measured
64	8192	524288	single-workgroup-tree	1024	8	-	1024	4096	2	30	64	179.209	224.250	236.375	21.260	2348.709	2610.208	2678.667	121.694	34.4365	37.8723	2.2691	measured
64	8192	524288	single-workgroup-tree	2048	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 2048 threads per workgroup and the prepared entry admits 1024
64	8192	524288	single-workgroup-tree	4096	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 4096 threads per workgroup and the prepared entry admits 1024
256	16384	4194304	multi-pass-split	2	8192	-	1	0	3	30	64	1042.208	1081.125	1141.584	29.961	56633.250	56787.875	56860.208	134.025	882.3975	884.2341	2.6030	measured
256	16384	4194304	multi-pass-split	4	4096	-	1	0	3	30	64	417.416	448.542	477.084	22.288	16309.083	16532.250	16586.250	115.949	252.2487	255.2970	2.1942	measured
256	16384	4194304	multi-pass-split	8	2048	-	1	0	3	30	64	363.583	402.375	471.334	41.126	13778.959	14035.542	14090.625	101.310	212.9425	216.3995	2.2609	measured
256	16384	4194304	multi-pass-split	16	1024	-	1	0	3	30	64	356.625	393.292	418.584	20.313	13315.208	13558.458	13631.792	104.799	205.6918	208.9709	1.9859	measured
256	16384	4194304	multi-pass-split	32	512	-	1	0	3	30	64	352.708	385.834	395.042	13.279	13176.500	13379.875	13449.833	91.699	203.5523	206.2546	1.6663	measured
256	16384	4194304	multi-pass-split	64	256	-	1	0	3	30	64	341.417	388.584	400.792	31.185	13123.625	13317.583	13404.250	91.093	202.8922	205.2222	1.9409	measured
256	16384	4194304	multi-pass-split	128	128	governed	1	0	3	30	64	359.750	400.834	408.125	16.343	13871.333	14038.083	14116.625	83.746	214.4696	216.4643	1.5887	measured
256	16384	4194304	multi-pass-split	256	64	-	1	0	3	30	64	350.000	385.958	401.667	28.183	13196.792	13404.666	13453.667	77.374	203.9173	206.6462	1.6755	measured
256	16384	4194304	multi-pass-split	512	32	-	1	0	3	30	64	362.709	398.791	437.792	36.983	14003.334	14223.625	14310.417	94.091	216.5179	219.4418	2.0805	measured
256	16384	4194304	multi-pass-split	1024	16	-	1	0	3	30	64	366.208	404.792	411.083	28.692	14021.500	14242.417	14323.916	108.633	216.7507	219.6448	2.1798	measured
256	16384	4194304	multi-pass-split	2048	8	-	1	0	3	30	64	374.333	412.583	502.166	46.274	14640.167	14825.250	14894.459	97.268	226.4418	228.7725	2.2784	measured
256	16384	4194304	multi-pass-split	4096	4	-	1	0	3	30	64	416.000	455.375	476.042	26.819	17509.166	17681.375	17737.375	76.744	271.3201	273.4286	1.6439	measured
256	16384	4194304	multi-pass-split	8192	2	-	1	0	3	30	64	1098.000	1151.041	1211.750	38.246	60148.417	60276.375	60383.375	72.771	937.3082	938.4974	1.7622	measured
256	16384	4194304	single-workgroup-tree	2	8192	-	2	16	2	30	64	962.417	1026.917	1090.792	39.446	51788.042	51911.750	51967.625	59.018	806.7560	807.6958	1.5629	measured
256	16384	4194304	single-workgroup-tree	4	4096	-	4	16	2	30	64	412.667	441.166	470.416	25.768	15655.583	15763.959	15820.500	67.541	241.9510	243.2189	1.4811	measured
256	16384	4194304	single-workgroup-tree	8	2048	-	8	32	2	30	64	366.625	391.458	404.167	31.356	13490.167	13637.750	13691.083	60.291	208.3102	210.2586	1.4547	measured
256	16384	4194304	single-workgroup-tree	16	1024	-	16	64	2	30	64	353.375	384.667	396.292	20.284	13146.917	13301.875	13399.958	78.284	203.0721	205.0350	1.5646	measured
256	16384	4194304	single-workgroup-tree	32	512	-	32	128	2	30	64	352.583	389.833	401.750	17.385	13063.458	13235.792	13274.167	65.824	201.7599	203.9041	1.3208	measured
256	16384	4194304	single-workgroup-tree	64	256	-	64	256	2	30	64	359.250	390.041	393.791	8.668	13010.750	13203.000	13244.959	66.140	200.8175	203.3803	1.1874	measured
256	16384	4194304	single-workgroup-tree	128	128	governed	128	512	2	30	64	356.959	397.000	405.083	12.819	13601.708	13724.208	13784.875	66.421	210.2341	211.5430	1.2578	measured
256	16384	4194304	single-workgroup-tree	256	64	-	256	1024	2	30	64	353.375	386.792	397.166	36.998	13125.709	13278.833	13315.958	68.480	202.7355	204.6356	1.6742	measured
256	16384	4194304	single-workgroup-tree	512	32	-	512	2048	2	30	64	365.083	400.458	418.042	29.637	14283.416	14517.458	14624.958	96.147	220.9259	224.0794	1.9966	measured
256	16384	4194304	single-workgroup-tree	1024	16	-	1024	4096	2	30	64	369.042	397.542	404.833	30.147	13496.375	13674.834	13741.167	78.098	208.3704	210.7507	1.7182	measured
256	16384	4194304	single-workgroup-tree	2048	8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 2048 threads per workgroup and the prepared entry admits 1024
256	16384	4194304	single-workgroup-tree	4096	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 4096 threads per workgroup and the prepared entry admits 1024
256	16384	4194304	single-workgroup-tree	8192	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the canonical tree tile is unrepresentable
1024	4096	4194304	multi-pass-split	2	2048	-	1	0	3	30	64	360.500	401.250	408.291	24.219	13849.417	14133.500	14156.791	99.079	214.1098	217.9722	1.9571	measured
1024	4096	4194304	multi-pass-split	4	1024	-	1	0	3	30	64	360.209	395.458	410.542	22.262	13365.875	13579.750	13670.250	99.757	206.4391	209.2745	1.9368	measured
1024	4096	4194304	multi-pass-split	8	512	-	1	0	3	30	64	352.084	387.042	396.209	22.898	13079.916	13273.792	13363.709	88.006	202.0291	204.5516	1.7604	measured
1024	4096	4194304	multi-pass-split	16	256	-	1	0	3	30	64	351.458	388.625	399.709	14.210	13037.208	13293.584	13387.417	106.185	201.3611	204.8406	1.9110	measured
1024	4096	4194304	multi-pass-split	32	128	-	1	0	3	30	64	358.334	395.875	404.292	14.525	13402.750	13550.709	13675.125	98.441	207.0542	208.8069	1.7931	measured
1024	4096	4194304	multi-pass-split	64	64	governed	1	0	3	30	64	352.625	386.875	397.958	32.808	13019.916	13254.500	13343.625	101.545	201.0681	204.2480	2.1326	measured
1024	4096	4194304	multi-pass-split	128	32	-	1	0	3	30	64	367.334	401.583	412.917	31.271	13917.084	14072.292	14266.958	126.691	215.0754	216.9954	2.5073	measured
1024	4096	4194304	multi-pass-split	256	16	-	1	0	3	30	64	356.667	386.417	422.417	21.993	13136.417	13325.958	13404.166	87.949	202.8532	205.3895	1.7451	measured
1024	4096	4194304	multi-pass-split	512	8	-	1	0	3	30	64	365.750	401.375	411.625	31.556	13811.833	14036.333	14097.875	95.214	213.4299	216.4279	2.0122	measured
