# spike	reduction-partition-calibration
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	16
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	4.34 3.37 3.95
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	governed	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
256	16384	4194304	single-workgroup-tree	8	2048	-	8	32	2	30	16	357.875	390.625	412.792	19.000	3510.333	3598.000	3628.000	34.515	210.1639	213.8250	3.5676	measured
256	16384	4194304	single-workgroup-tree	16	1024	-	16	64	2	30	16	353.417	388.125	407.542	28.090	3420.583	3524.875	3548.000	43.971	204.4777	209.1167	4.8041	measured
256	16384	4194304	single-workgroup-tree	32	512	-	32	128	2	30	16	350.000	380.458	400.625	19.857	3380.000	3484.625	3505.167	35.354	202.0000	206.9445	3.6807	measured
256	16384	4194304	single-workgroup-tree	64	256	-	64	256	2	30	16	350.167	380.791	394.292	19.882	3369.000	3467.875	3494.208	48.835	201.2555	205.8056	4.5812	measured
256	16384	4194304	single-workgroup-tree	128	128	governed	128	512	2	30	16	354.208	392.458	418.166	33.261	3519.208	3601.833	3631.208	44.895	211.0000	213.9583	5.2104	measured
256	16384	4194304	single-workgroup-tree	256	64	-	256	1024	2	30	16	351.375	388.500	400.750	17.329	3396.958	3477.833	3519.250	46.583	203.0389	205.9555	4.2608	measured
256	16384	4194304	single-workgroup-tree	512	32	-	512	2048	2	30	16	374.542	405.167	447.083	31.983	3708.833	3827.625	3871.209	51.282	222.2861	228.1639	5.5510	measured
256	16384	4194304	single-workgroup-tree	1024	16	-	1024	4096	2	30	16	359.250	387.292	413.500	39.491	3492.917	3602.042	3629.833	46.952	208.9111	214.3167	5.7629	measured
256	16384	4194304	single-workgroup-tree	2048	8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 2048 threads per workgroup and the prepared entry admits 1024
256	16384	4194304	single-workgroup-tree	4096	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 4096 threads per workgroup and the prepared entry admits 1024
