# analysis	reduction-tree-width-label-stability
# validation	passed
# cells	188
# widths_per_run	2506
# measured_rows	5012
# percentile_indices	upper_median=N/2; lower_median=(N-1)/2; p90=ceil(0.9*N)-1
# stability_bar	exact>=ceil(0.80*N); movement_p90<=1.0; jaccard_lower_median>=0.50; containment_lower_median>=0.75; reciprocal_plateau>=ceil(0.90*N); regret_upper_median<=1.02; regret_p90<=1.10; regret_max<=1.25
# input_manifest_sha256	24d9c60f8a116a2ed4245d3709b1303127d78c8800c1b6a7e7df5609511ada12
# input	shape-aware	environment=dcd9f787ba6e7eda770cff9af30ec315a04b3b774ca33b50e2d860bf8ca0a2db	primary=e919d79b7ea176dd0b83cbd051302e53fa2cc77ca28e9856545edecc60fd9a7d	repeat=cd6f7d5109669224fb14727fe95291ed36ef0cd951519305df26627bd84ecd3a
# noise_rule	shape-aware	multiplier=2.0	shape-aware frozen ticket + hash.analysis=806e2f41cdfdbc7c02fe936a958b663413f8d6271bdf447ca89f00213e6e6d72
# input	interactions	environment=26af3a8547ad4183d65fcb2497383f109e53e725c406924c6a14945408af1fad	primary=8b9598b0295c394626eda8c645c4605030a77e825650c63594fefbeb4fddcec2	repeat=0434185aed33c21404b06b561f5742fae36469a264c46d251e5417c8237e4b87
# noise_rule	interactions	multiplier=2.0	interaction frozen ticket + hash.analysis_shared=c4f2f807fb90c8b31743d04b362dc4945002350e893ee7b2e0b1fb4c961d8741
# input	table	environment=4776a37581caddb54ef3f1a0a3a5a7837b8bfc282df96f17959979d4b8cf2022	primary=7b63e4779bfd9f247c3ccb49b58260e57a1e69a12ef3772f4de6235fd1ef380a	repeat=3a1975b4ff940345ba3b2fbccbe1c9a750bea4013ebe58cb532938f6e0511521
# noise_rule	table	multiplier=2.0	table environment analysis.noise_band=2 * (SE_a + SE_b)

## Per-cell stability

study	role	shape	primary_best	repeat_best	exact	log2_movement	primary_plateau	repeat_plateau	jaccard	primary_containment	repeat_containment	symmetric_containment	primary_in_repeat_regret	repeat_in_primary_regret	reciprocal_regret	primary_in_repeat_plateau	repeat_in_primary_plateau	reciprocal_plateau
interactions	anchor	8192x1042	521	521	true	0.000000000	521	521	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	8192x774	43	43	true	0.000000000	43,86	43,86	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	8192x783	29	29	true	0.000000000	27,29	27,29	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	8192x900	50	45	false	0.152003093	36,45,50,100	36,45,50,100	1.000000000	1.000000000	1.000000000	1.000000000	1.001617705	1.000178151	1.001617705	true	true	true
interactions	fit	8192x1006	503	503	true	0.000000000	503	503	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	8192x1082	541	541	true	0.000000000	541	541	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	8192x1280	256	64	false	2.000000000	64,256	64,256	1.000000000	1.000000000	1.000000000	1.000000000	1.001059510	1.000108886	1.001059510	true	true	true
interactions	held	8192x775	31	31	true	0.000000000	31	31	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	8192x785	157	157	true	0.000000000	157	157	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	8192x899	31	31	true	0.000000000	29,31	29,31	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	8192x1008	56	56	true	0.000000000	56,144	56,144	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	8192x1094	547	547	true	0.000000000	547	547	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	8192x1282	641	641	true	0.000000000	641	641	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	16x1080	45	45	true	0.000000000	24,27,40,45	24,27,40,45	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	16x1215	81	81	true	0.000000000	15,27,45,81	15,27,45,81	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	16x1320	55	66	false	0.263034406	24,33,40,55,66,120	20,24,40,55,66	0.571428571	0.666666667	0.800000000	0.666666667	1.085352101	1.031037293	1.085352101	true	true	true
table	fit	16x1512	56	56	true	0.000000000	27,56	27,56	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	16x1638	91	91	true	0.000000000	18,78,91	21,78,91	0.500000000	0.666666667	0.666666667	0.666666667	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	16x1890	27	70	false	1.374395515	27,70,105	18,27,70,105,126,210	0.500000000	1.000000000	0.500000000	0.500000000	1.010788895	1.011071220	1.011071220	true	true	true
table	held	16x1050	70	70	true	0.000000000	15,50,70,105	50,70	0.500000000	0.500000000	1.000000000	0.500000000	1.000000000	1.000000000	1.000000000	true	true	true
table	held	16x1155	55	77	false	0.485426827	15,21,33,35,55,77,105	15,21,33,35,55,77,105	1.000000000	1.000000000	1.000000000	1.000000000	1.003284481	1.038030936	1.038030936	true	true	true
table	held	16x1274	26	91	false	1.807354922	14,26,49,91	26,49,91	0.750000000	0.750000000	1.000000000	0.750000000	1.017893967	1.000527180	1.017893967	true	true	true
table	held	16x1430	65	65	true	0.000000000	22,26,55,65	26,55,65	0.750000000	0.750000000	1.000000000	0.750000000	1.000000000	1.000000000	1.000000000	true	true	true
table	held	16x1575	45	45	true	0.000000000	35,45,105	35,45,105	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	held	16x1925	77	77	true	0.000000000	25,35,55,77	35,55,77	0.750000000	0.750000000	1.000000000	0.750000000	1.000000000	1.000000000	1.000000000	true	true	true
table	anchor	16x1024	64	64	true	0.000000000	16,64	16,64	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	anchor	16x1729	91	91	true	0.000000000	91,133	19,91,133	0.666666667	1.000000000	0.666666667	0.666666667	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	384x1080	45	27	false	0.736965594	24,27,40,45,120	9,24,27,40,45,120	0.833333333	1.000000000	0.833333333	0.833333333	1.000361703	1.000365643	1.000365643	true	true	true
table	fit	384x1215	27	27	true	0.000000000	15,27,45,81	15,27,45,81	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	384x1320	55	55	true	0.000000000	11,20,24,33,40,55,66,120	11,20,24,33,40,55,66,120	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	384x1512	27	27	true	0.000000000	27,56	27,56,63	0.666666667	1.000000000	0.666666667	0.666666667	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	384x1638	18	18	true	0.000000000	18,21,78,91	18,21,78,91	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	384x1890	27	18	false	0.584962501	18,27,70,105	9,18,27,70,105,126	0.666666667	1.000000000	0.666666667	0.666666667	1.005247636	1.001444705	1.005247636	true	true	true
table	held	384x1050	70	15	false	2.222392421	10,15,21,50,70,105	10,15,21,30,42,50,70,105,210	0.666666667	1.000000000	0.666666667	0.666666667	1.011435198	1.003806021	1.011435198	true	true	true
table	held	384x1155	55	77	false	0.485426827	11,15,21,33,35,55,77,105	11,15,21,33,35,55,77,105	1.000000000	1.000000000	1.000000000	1.000000000	1.005054079	1.008523736	1.008523736	true	true	true
table	held	384x1274	26	26	true	0.000000000	14,26,49,91	14,26,49,91	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	held	384x1430	22	22	true	0.000000000	22,26,55,65	22,26,55,65	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	held	384x1575	45	35	false	0.362570079	15,35,45,105	15,35,45,63,105	0.800000000	1.000000000	0.800000000	0.800000000	1.004629158	1.003376220	1.004629158	true	true	true
table	held	384x1925	25	55	false	1.137503524	25,35,55,77	25,35,55,77	1.000000000	1.000000000	1.000000000	1.000000000	1.002727189	1.012532296	1.012532296	true	true	true
table	anchor	384x1024	16	16	true	0.000000000	16,64	16,64	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	anchor	384x1729	19	19	true	0.000000000	13,19,91	13,19,91,133	0.750000000	1.000000000	0.750000000	0.750000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	1536x1080	27	27	true	0.000000000	24,27	24,27	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	1536x1215	27	27	true	0.000000000	15,27,45	15,27,45	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	1536x1320	24	24	true	0.000000000	20,24,33	20,24,33	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	1536x1512	27	27	true	0.000000000	27	27,56	0.500000000	1.000000000	0.500000000	0.500000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	1536x1638	18	78	false	2.115477217	18,21,78,91	13,18,21,78,91	0.800000000	1.000000000	0.800000000	0.800000000	1.002147437	1.001684147	1.002147437	true	true	true
table	fit	1536x1890	27	105	false	1.959358016	27,70,105	9,18,27,70,105	0.600000000	1.000000000	0.600000000	0.600000000	1.001159755	1.002310549	1.002310549	true	true	true
table	held	1536x1050	21	15	false	0.485426827	15,21	15,21,50	0.666666667	1.000000000	0.666666667	0.666666667	1.004396272	1.005122674	1.005122674	true	true	true
table	held	1536x1155	15	15	true	0.000000000	11,15,21,33,35,55,77,105	15,21,33,35,55,77	0.750000000	0.750000000	1.000000000	0.750000000	1.000000000	1.000000000	1.000000000	true	true	true
table	held	1536x1274	26	26	true	0.000000000	14,26	14,26	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	held	1536x1430	26	26	true	0.000000000	22,26,65	22,26,65	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	held	1536x1575	45	35	false	0.362570079	15,35,45	15,35,45	1.000000000	1.000000000	1.000000000	1.000000000	1.000650920	1.004663804	1.004663804	true	true	true
table	held	1536x1925	35	35	true	0.000000000	35,55,77	25,35,55,77	0.750000000	1.000000000	0.750000000	0.750000000	1.000000000	1.000000000	1.000000000	true	true	true
table	anchor	1536x1024	16	16	true	0.000000000	16,64	16,64	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	anchor	1536x1729	91	91	true	0.000000000	13,19,91,133	13,19,91,133	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	6144x1080	45	45	true	0.000000000	45,120	9,40,45,120	0.500000000	1.000000000	0.500000000	0.500000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	6144x1215	81	81	true	0.000000000	81	81	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	6144x1320	66	66	true	0.000000000	55,66,120	55,66,120	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	6144x1512	126	126	true	0.000000000	63,126,216	126,216	0.666666667	0.666666667	1.000000000	0.666666667	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	6144x1638	91	78	false	0.222392421	78,91,273	78,91	0.666666667	0.666666667	1.000000000	0.666666667	1.000421642	1.000939593	1.000939593	true	true	true
table	fit	6144x1890	105	210	false	1.000000000	105,126,210	105,126,210	1.000000000	1.000000000	1.000000000	1.000000000	1.000259880	1.001619427	1.001619427	true	true	true
table	held	6144x1050	70	70	true	0.000000000	15,50,70,105	15,50,70,105	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	held	6144x1155	77	55	false	0.485426827	15,33,35,55,77,105	55,77,105	0.500000000	0.500000000	1.000000000	0.500000000	1.001439864	1.005761533	1.005761533	true	true	true
table	held	6144x1274	91	91	true	0.000000000	49,91	91	0.500000000	0.500000000	1.000000000	0.500000000	1.000000000	1.000000000	1.000000000	true	true	true
table	held	6144x1430	65	65	true	0.000000000	55,65,286	65	0.333333333	0.333333333	1.000000000	0.333333333	1.000000000	1.000000000	1.000000000	true	true	true
table	held	6144x1575	105	105	true	0.000000000	63,105,225	105	0.333333333	0.333333333	1.000000000	0.333333333	1.000000000	1.000000000	1.000000000	true	true	true
table	held	6144x1925	77	77	true	0.000000000	77,175	77	0.500000000	0.500000000	1.000000000	0.500000000	1.000000000	1.000000000	1.000000000	true	true	true
table	anchor	6144x1024	64	16	false	2.000000000	16,64	16,64	1.000000000	1.000000000	1.000000000	1.000000000	1.002606218	1.000785997	1.002606218	true	true	true
table	anchor	6144x1729	133	91	false	0.547487795	7,13,19,91,133,247	91,133	0.333333333	0.333333333	1.000000000	0.333333333	1.000839762	1.003953368	1.003953368	true	true	true
table	fit	12288x1080	120	120	true	0.000000000	45,120	120	0.500000000	0.500000000	1.000000000	0.500000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	12288x1215	81	81	true	0.000000000	81	81	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	12288x1320	120	66	false	0.862496476	66,120	66,120	1.000000000	1.000000000	1.000000000	1.000000000	1.000104742	1.000054011	1.000104742	true	true	true
table	fit	12288x1512	126	126	true	0.000000000	126,216	126,216	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	12288x1638	78	78	true	0.000000000	78,91,117,126	78,91	0.500000000	0.500000000	1.000000000	0.500000000	1.000000000	1.000000000	1.000000000	true	true	true
table	fit	12288x1890	105	210	false	1.000000000	105,210	105,126,210	0.666666667	1.000000000	0.666666667	0.666666667	1.000801974	1.000352970	1.000801974	true	true	true
table	held	12288x1050	70	70	true	0.000000000	50,70,105	70,105	0.666666667	0.666666667	1.000000000	0.666666667	1.000000000	1.000000000	1.000000000	true	true	true
table	held	12288x1155	77	105	false	0.447458977	55,77,105	55,77,105	1.000000000	1.000000000	1.000000000	1.000000000	1.000094984	1.000042944	1.000094984	true	true	true
table	held	12288x1274	91	91	true	0.000000000	91	91	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	held	12288x1430	65	65	true	0.000000000	65	65	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	held	12288x1575	105	105	true	0.000000000	105,225	105,225	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	held	12288x1925	77	175	false	1.184424571	77,175	77,175,385	0.666666667	1.000000000	0.666666667	0.666666667	1.000828806	1.001459669	1.001459669	true	true	true
table	anchor	12288x1024	64	64	true	0.000000000	64	64	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
table	anchor	12288x1729	133	133	true	0.000000000	91,133	91,133	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true

## Frozen aggregates

subset	cells	exact	exact_rate	movement_upper_median	movement_p90	movement_max	jaccard_lower_median	jaccard_min	containment_lower_median	containment_min	primary_in_repeat_plateau	repeat_in_primary_plateau	reciprocal_plateau	reciprocal_rate	regret_upper_median	regret_p90	regret_max	stable
overall	188	139	0.739361702	0.000000000	0.862496476	8.025139562	1.000000000	0.333333333	1.000000000	0.333333333	188	188	188	1.000000000	1.000000000	1.011071220	1.159887165	false
shape-aware	48	35	0.729166667	0.000000000	0.807354922	8.025139562	1.000000000	0.500000000	1.000000000	0.500000000	48	48	48	1.000000000	1.000000000	1.013901637	1.159887165	false
interactions	70	57	0.814285714	0.000000000	0.321928095	8.025139562	1.000000000	0.400000000	1.000000000	0.400000000	70	70	70	1.000000000	1.000000000	1.006403723	1.049624981	true
table	70	47	0.671428571	0.000000000	1.137503524	2.222392421	1.000000000	0.333333333	1.000000000	0.333333333	70	70	70	1.000000000	1.000000000	1.005761533	1.085352101	false
anchor	28	20	0.714285714	0.000000000	2.000000000	8.025139562	1.000000000	0.333333333	1.000000000	0.333333333	28	28	28	1.000000000	1.000000000	1.018888268	1.049624981	false
fit	80	56	0.700000000	0.000000000	1.000000000	2.115477217	1.000000000	0.400000000	1.000000000	0.400000000	80	80	80	1.000000000	1.000000000	1.010852353	1.159887165	false
held	80	63	0.787500000	0.000000000	0.485426827	2.415037499	1.000000000	0.333333333	1.000000000	0.333333333	80	80	80	1.000000000	1.000000000	1.006403723	1.038030936	false
shape-aware/anchor	8	6	0.750000000	0.000000000	8.025139562	8.025139562	1.000000000	0.500000000	1.000000000	0.500000000	8	8	8	1.000000000	1.000000000	1.013901637	1.013901637	false
shape-aware/fit	20	11	0.550000000	0.000000000	0.807354922	1.109624491	1.000000000	0.666666667	1.000000000	0.666666667	20	20	20	1.000000000	1.000000000	1.018764853	1.159887165	false
shape-aware/held	20	18	0.900000000	0.000000000	0.000000000	2.415037499	1.000000000	0.500000000	1.000000000	0.500000000	20	20	20	1.000000000	1.000000000	1.000000000	1.010331447	true
interactions/anchor	10	6	0.600000000	0.000000000	0.415037499	8.025139562	0.875000000	0.500000000	0.875000000	0.500000000	10	10	10	1.000000000	1.000000000	1.030550026	1.049624981	false
interactions/fit	30	25	0.833333333	0.000000000	0.152003093	2.000000000	1.000000000	0.400000000	1.000000000	0.400000000	30	30	30	1.000000000	1.000000000	1.001617705	1.015780034	true
interactions/held	30	26	0.866666667	0.000000000	0.096215315	0.637429921	1.000000000	0.500000000	1.000000000	0.500000000	30	30	30	1.000000000	1.000000000	1.004008178	1.027258174	true
table/anchor	10	8	0.800000000	0.000000000	0.547487795	2.000000000	1.000000000	0.333333333	1.000000000	0.333333333	10	10	10	1.000000000	1.000000000	1.002606218	1.003953368	true
table/fit	30	20	0.666666667	0.000000000	1.000000000	2.115477217	0.833333333	0.500000000	0.833333333	0.500000000	30	30	30	1.000000000	1.000000000	1.002310549	1.085352101	false
table/held	30	19	0.633333333	0.000000000	1.137503524	2.222392421	0.750000000	0.333333333	0.750000000	0.333333333	30	30	30	1.000000000	1.000000000	1.011435198	1.038030936	false

## Verdict

verdict	stable-named-subsets-only
stable_study_role_subsets	shape-aware/held,interactions/fit,interactions/held,table/anchor
policy_evidence	none-opened-label-stability-only
