kind	cell	layout	live	capacity	round	warmups	reps	bytes_or_gpu_median_ns	p95_ns	wall_median_ns
access	B1-last	sequence-major	8320	8320	4	3	7	792167	793750	1269250
access	B1-last	exact-head	8320	8320	4	3	7	761875	764042	1252458
allocation	B1-last	exact-head	8320	8320	-1	20	101	68157440	4875	7083
allocation	B1-last	capacity-head	8320	8320	-1	20	101	68157440	4750	6917
allocation	B1-last	sequence-major	8320	8320	-1	20	101	68157440	4750	5000
lifecycle	C1-decode	exact-head-compact	5	18	-1	10	51	1318912	85333	90917
lifecycle	B1-decode	exact-head-compact	8192	8320	-1	3	11	8724676608	1609042	1617250
lifecycle	C1-decode	capacity-head	5	18	-1	10	51	294912	10000	10750
lifecycle	B1-decode	capacity-head	8192	8320	-1	3	11	136314880	12208	12708
lifecycle	C1-decode	sequence-major	5	18	-1	10	51	294912	10000	10167
lifecycle	B1-decode	sequence-major	8192	8320	-1	3	11	136314880	12125	12250
lifecycle	C1-decode	exact-head-pooled	5	18	-1	10	51	294912	10000	10208
lifecycle	B1-decode	exact-head-pooled	8192	8320	-1	3	11	136314880	12167	12667
environment	device	Apple M4 Max
