layer	position	rank	lane	value_hex	value
17	3	1	144	0x416cc205	14.797368049621582
17	3	2	164	0xc1695c4f	-14.585036277770996
17	3	3	18	0x41531c21	13.194367408752441
17	4	0	35	0x4201a535	32.41133499145508
17	4	1	122	0xc170c06f	-15.046980857849121
17	4	2	18	0x415fa7d1	13.978470802307129
17	4	3	162	0x4151ab35	13.10429859161377
17	5	0	35	0x41890668	17.128128051757812
17	5	1	18	0x41550e48	13.315986633300781
17	5	2	28	0x413c955c	11.78646469116211
17	5	3	1	0x413bf25a	11.746667861938477
17	6	0	35	0x42089bc1	34.152103424072266
17	6	1	28	0x415c4cea	13.768777847290039
17	6	2	18	0x4153534d	13.207837104797363
17	6	3	7	0xc13c0094	-11.750141143798828
17	7	0	35	0x41e4ad54	28.584632873535156
17	7	1	62	0xc18b6567	-17.42451286315918
17	7	2	277	0x4186e670	16.862518310546875
17	7	3	18	0x41516655	13.087483406066895
17	8	0	35	0x42349006	45.140647888183594
17	8	1	277	0x41490c88	12.565559387207031
17	8	2	39	0x413f2cd5	11.948445320129395
17	8	3	18	0x413c5fee	11.773420333862305
17	9	0	35	0x424ba48f	50.910701751708984
17	9	1	41	0x41690084	14.562625885009766
17	9	2	16	0xc154d65f	-13.302336692810059
17	9	3	131	0x41532330	13.196090698242188
17	10	0	35	0x42560b1e	53.51085662841797
17	10	1	7	0xc19c7ce5	-19.560983657836914
17	10	2	9	0xc164f7fb	-14.310542106628418
17	10	3	277	0x413f486c	11.955181121826172
17	11	0	35	0x423d6dc2	47.35718536376953
17	11	1	277	0x418e202f	17.765714645385742
17	11	2	18	0x4153a5ee	13.228010177612305
17	11	3	181	0x414df404	12.872074127197266
17	12	0	35	0x42240262	41.00232696533203
17	12	1	265	0x4186adde	16.834896087646484
17	12	2	28	0x414e5f24	12.89822769165039
17	12	3	18	0x4144a2df	12.289763450622559
17	13	0	35	0x42515da3	52.3414421081543
17	13	1	277	0x4162c7b8	14.173759460449219
17	13	2	36	0xc159b628	-13.606971740722656
17	13	3	18	0x4155df2d	13.366986274719238
17	14	0	35	0x42320c15	44.51179885864258
17	14	1	122	0xc187e0fd	-16.9848575592041
17	14	2	277	0x418054fc	16.04149627685547
17	14	3	18	0x415f84c5	13.969914436340332
17	15	0	35	0x4233dc10	44.96490478515625
17	15	1	18	0x415e8d8e	13.90955924987793
17	15	2	28	0x41583e75	13.51524829864502
17	15	3	277	0x414b4c55	12.706135749816895
17	16	0	35	0x42510c65	52.26210403442383
17	16	1	7	0xc184bb8e	-16.59157943725586
17	16	2	28	0x4154fb99	13.31142520904541
17	16	3	277	0x414ffda5	12.999424934387207
17	17	0	35	0x42341c9b	45.02793502807617
17	17	1	277	0x4184cc8b	16.59987449645996
17	17	2	28	0x41577722	13.466585159301758
17	17	3	161	0x414da265	12.852147102355957
18	0	0	35	0x45c8295e	6405.1708984375
18	0	1	13	0x441e3198	632.77490234375
18	0	2	1	0x43b8d6d7	369.6784362792969
18	0	3	277	0xc3205ad1	-160.35475158691406
18	1	0	35	0x4223adbc	40.91966247558594
18	1	1	277	0x41ce143c	25.75988006591797
18	1	2	30	0x41a85203	21.0400447845459
18	1	3	157	0xc1a15304	-20.16553497314453
18	2	0	35	0x4220dcb2	40.21552276611328
18	2	1	265	0x41ac2699	21.51884651184082
18	2	2	62	0xc1a86a88	-21.052017211914062
18	2	3	18	0x419271c0	18.3055419921875
18	3	0	35	0x42432de9	48.79483413696289
18	3	1	18	0x418fc66a	17.971881866455078
18	3	2	144	0x4177de8a	15.491830825805664
18	3	3	164	0xc174ef98	-15.308494567871094
18	4	0	35	0x42201198	40.017181396484375
18	4	1	18	0x419e2661	19.768739700317383
18	4	2	122	0xc186cc5b	-16.849782943725586
18	4	3	162	0x4180ac49	16.084123611450195
18	5	0	35	0x41ad5001	21.664064407348633
18	5	1	18	0x4199a72e	19.20663070678711
18	5	2	28	0x416a8e49	14.659737586975098
18	5	3	138	0x4160eb9a	14.057519912719727
18	6	0	35	0x4237d90d	45.96196365356445
18	6	1	18	0x41946602	18.549808502197266
18	6	2	7	0xc1852107	-16.64112663269043
18	6	3	28	0x418209ce	16.25478744506836
18	7	0	35	0x41f668e6	30.801219940185547
18	7	1	62	0xc1aa3627	-21.27644157409668
18	7	2	277	0x419a9dfa	19.327136993408203
18	7	3	18	0x41981b8b	19.01344871520996
18	8	0	35	0x426bb789	58.92923355102539
18	8	1	277	0x4181895e	16.192073822021484
18	8	2	23	0xc170d794	-15.052631378173828
18	8	3	18	0x416bd67b	14.739863395690918
18	9	0	35	0x428ff3fe	71.97654724121094
18	9	1	41	0x41941a1d	18.51275062561035
18	9	2	7	0xc191bf1a	-18.218311309814453
18	9	3	131	0x418a78b2	17.30893325805664
18	10	0	35	0x42826858	65.20379638671875
18	10	1	7	0xc1d80982	-27.004642486572266
18	10	2	9	0xc181fe9f	-16.249326705932617
18	10	3	277	0x418115ae	16.13558578491211
18	11	0	35	0x4265c433	57.44160079956055
18	11	1	277	0x41bb7adf	23.434995651245117
18	11	2	18	0x418d5585	17.666757583618164
18	11	3	181	0x415d9e10	13.851089477539062
18	12	0	35	0x4245249e	49.28575897216797
18	12	1	265	0x4190fdad	18.123865127563477
18	12	2	7	0xc1811945	-16.137338638305664
18	12	3	28	0x4180e674	16.112525939941406
18	13	0	35	0x4284d556	66.41667175292969
18	13	1	277	0x4199f9ac	19.246910095214844
18	13	2	18	0x418ab32c	17.337486267089844
18	13	3	36	0xc182e0a3	-16.35968589782715
18	14	0	35	0x426f62b1	59.846378326416016
18	14	1	277	0x41a4dbe5	20.607370376586914
18	14	2	18	0x4193d1cd	18.477441787719727
18	14	3	122	0xc193d134	-18.477149963378906
18	15	0	35	0x426601d0	57.50177001953125
18	15	1	18	0x419fa8f6	19.957500457763672
