position	variant	bit_identical_logits	max_abs_deviation	max_ulp_deviation	max_rel_deviation	top32_max_abs_deviation	top32_max_ulp_deviation	greedy_token	greedy_token_agrees	runner_up_gap	deviation_over_gap
10	joint_unmodified_alternating	3006	2.580881118774414e-05	2874745	0.24923367933793503	2.09808349609375e-05	11	3974	true	0.2660789489746094	9.69968172499319e-05
11	joint_unmodified_alternating	2083	2.7418136596679688e-05	3214387	0.2545182901007286	1.811981201171875e-05	19	13876	true	3.142240524291992	8.725664501083196e-06
12	joint_unmodified_alternating	1633	3.409385681152344e-05	1044547	0.07311248779296875	1.621246337890625e-05	17	38835	true	4.567880630493164	7.463823941441865e-06
13	joint_unmodified_alternating	1685	3.384053707122803e-05	1836553	0.14691258101757046	1.33514404296875e-05	7	34208	true	2.2036914825439453	1.5356295261513854e-05
14	joint_unmodified_alternating	1861	3.266334533691406e-05	2053349	0.1281985356257512	1.1444091796875e-05	10	916	true	5.165983200073242	6.322774208102529e-06
15	joint_unmodified_alternating	1659	3.8623809814453125e-05	12336041	0.6240391217199843	1.811981201171875e-05	19	279	true	3.8442554473876953	1.0047149660852881e-05
16	joint_unmodified_alternating	2802	2.9087066650390625e-05	1358845	0.1272044737646185	1.52587890625e-05	8	15678	true	3.4881458282470703	8.338833317931554e-06
17	joint_unmodified_alternating	2732	2.5272369384765625e-05	2005857	0.16314400420528363	1.52587890625e-05	8	5562	true	3.9037609100341797	6.473851746352046e-06
0	joint_unmodified_outward	516	0.0002067089080810547	36547767	0.9526187850336115	7.43865966796875e-05	54	2701	true	3.211550712585449	6.436420489049176e-05
1	joint_unmodified_outward	957	5.91278076171875e-05	1847930975	1.3443833095300557	2.86102294921875e-05	15	323	true	0.38796043395996094	0.00015240679832647503
2	joint_unmodified_outward	1241	5.626678466796875e-05	1680048	0.11565605779828962	2.86102294921875e-05	28	38835	true	5.278984069824219	1.065863884484924e-05
3	joint_unmodified_outward	843	7.05718994140625e-05	12821924	0.6439791827371879	4.863739013671875e-05	51	34208	true	1.9957695007324219	3.536074651314369e-05
4	joint_unmodified_outward	572	8.106231689453125e-05	3955583	0.25490029164543887	3.528594970703125e-05	37	916	true	5.430543899536133	1.4927108295995074e-05
5	joint_unmodified_outward	461	0.00012087821960449219	19963224	0.8183835458183202	8.0108642578125e-05	84	279	true	4.211824417114258	2.869972905644348e-05
6	joint_unmodified_outward	701	9.918212890625e-05	14676993	0.7105630228740976	8.106231689453125e-05	85	15678	true	7.8504180908203125	1.2633993216517488e-05
7	joint_unmodified_outward	1187	6.866455078125e-05	3719747	0.2394752945440663	3.814697265625e-05	29	5562	true	5.706926345825195	1.2031792005074742e-05
8	joint_unmodified_outward	1037	4.2438507080078125e-05	1844620747	1.9351897462861598	3.0517578125e-05	32	13	true	1.3519573211669922	3.13904192208122e-05
9	joint_unmodified_outward	1307	4.342198371887207e-05	8713586	0.5104317937916546	2.193450927734375e-05	23	576	true	0.3050212860107422	0.0001423572245949512
10	joint_unmodified_outward	3636	2.4557113647460938e-05	2006080	0.148154975445363	1.33514404296875e-05	7	3974	true	0.2660789489746094	9.229258361887285e-05
11	joint_unmodified_outward	2185	2.47955322265625e-05	5072685	0.3560347353700328	1.9073486328125e-05	20	13876	true	3.142240524291992	7.891035722718716e-06
12	joint_unmodified_outward	2401	2.86102294921875e-05	833763	0.08015395857285014	1.33514404296875e-05	12	38835	true	4.567880630493164	6.263348762049117e-06
13	joint_unmodified_outward	2214	3.218650817871094e-05	1089701	0.08716916225528341	2.09808349609375e-05	11	34208	true	2.2036914825439453	1.4605723366301156e-05
14	joint_unmodified_outward	2112	3.573298454284668e-05	2895766	0.17763800987830528	1.33514404296875e-05	11	916	true	5.165983200073242	6.9169765287545e-06
15	joint_unmodified_outward	1880	3.504753112792969e-05	26469698	0.8872655847258727	1.9073486328125e-05	10	279	true	3.8442554473876953	9.116858025588726e-06
16	joint_unmodified_outward	2715	2.47955322265625e-05	1213943	0.11788237406945354	1.52587890625e-05	8	15678	true	3.4881458282470703	7.1085136480728e-06
17	joint_unmodified_outward	2902	2.6702880859375e-05	832628	0.07486463497749461	1.52587890625e-05	8	5562	true	3.9037609100341797	6.840296184824803e-06
