layer	tensor	position	stage	sha256	l2_norm	max_abs_head	max_abs_lane	max_abs_hex	max_abs
1	v_heads	12	decode	8aaece2950d95a677d24e8742eb9d2238492bfc0533bf86ea9a53e3f9e5b22e1	3.443786946402326	7	54	0xbef142e3	-0.4712134301662445
1	v_heads	13	decode	3afadfbd3c68b22286ac379ca7fa8f3b025a3597c409111321cb00517db88ca3	3.507744642205103	7	54	0xbf030083	-0.5117265582084656
1	v_heads	14	decode	300519726a88615ff7519e78efa38658581baad55b5e0d344b59ca556d10f56a	3.5621531764938537	4	118	0x3f0deae2	0.5543652772903442
1	v_heads	15	decode	bc0c0722578263dfa511c0b0889bf71b215787bdb69d16e69f29c31dce9f68f0	3.408543237212068	2	123	0x3ec9699d	0.3933838903903961
1	v_heads	16	decode	b9f0e9d4e20d109de425460ae00783f2f4c4586541f71f7ff546a5c13e014c58	2.6631315581359565	1	76	0xbef08c66	-0.46982115507125854
1	v_heads	17	decode	08145468834bbbbc9f022ef6f48986a637763a455c7b733df5c13542054eca56	3.39508113932998	4	11	0xbf121fa0	-0.5707950592041016
2	k_rope	0	prefill	3ae8cc964f04bc8ff9350e9149b2a11557ab673715469b74222b4cd45224884c	256.2296389825019	0	116	0x431dada1	157.67823791503906
2	k_rope	1	prefill	f6427f775e4042f4d339c3c4fad6d36aeb8e3662c0ad70963c03082d8ed7ae65	291.751490243847	0	116	0x43165468	150.3297119140625
2	k_rope	2	prefill	a357b0462a8d752431a18af511cfa65e533ae0474500d58c947a25ddb4e0bf09	266.70215972984204	2	116	0xc309d53f	-137.83299255371094
2	k_rope	3	prefill	c5c721c511bc99c8db93a13e22bd84ba2a928ecfdcf78b73bbbea74b3b6e70cb	299.2993737989242	2	116	0xc31eb3fc	-158.70306396484375
2	k_rope	4	prefill	74e8f46b7fe611af949ffe294d7377f18ef1beb46775064779492480bcf7ffa3	309.6912959247427	0	116	0x432e2ce7	174.17539978027344
2	k_rope	5	prefill	93c03a2f50ae2b7575c2251585c412ffa4bae5f04ac157585cc12a83373778fb	325.7434642420167	0	116	0x4336cfaf	182.81126403808594
2	k_rope	6	prefill	b04155fb8df79cb58192029ace2692c6bbb077579e577366faac74ee96327978	257.3875028673335	0	116	0x432bc14f	171.75511169433594
2	k_rope	7	prefill	e223381232c47fdcd957ad31d7b9875df81830bdda27f25c7d267f7a790c5c2a	305.9914675087435	0	116	0x4312037a	146.01358032226562
2	k_rope	8	prefill	001b38849e02422e805f26ac109f9cbc0944d459ec23ca7935d3060c70b86e6b	298.7792716268407	2	116	0xc313a559	-147.64588928222656
2	k_rope	9	prefill	8acf82abc6222dd66e2a96cff83835a1dc35d9e92b96ab511b5c6a380697fd56	237.4574514604456	0	116	0x43220ab0	162.041748046875
2	k_rope	10	decode	32a6f6f6de5e291a98e88b2b499974bc498f2392617fc843294a8dccba7324db	291.0014928232084	0	116	0x431b0a20	155.03955078125
2	k_rope	11	decode	2306608403757faefd96954e8193cf4d9a5d0d407b6671d7a586316845c3d11c	329.73504254388115	0	116	0x431d8eb1	157.55738830566406
2	k_rope	12	decode	1da37044da3dda6d76de060a0a4f1a3ca2e52fa8353542dac34b32b9630e799d	312.1960168002841	2	116	0xc320dc52	-160.86062622070312
2	k_rope	13	decode	f3ab38cbe67b7288d08ee8a6dda1b352cee95ecf8790e49e0bda31bbb54c920a	347.93838496457147	2	116	0xc3381431	-184.07887268066406
2	k_rope	14	decode	cc5aab46fc78272ad40d7443263f83fdb9818a81b5a53595eeba2117468149ad	354.02347053819625	0	116	0x433cbb90	188.732666015625
2	k_rope	15	decode	67ea2ce8b230f93c8e0d838fe3a3fc333cb5b66ffb0fe0aaae447b45a779df69	358.63545068180554	0	116	0x433c646a	188.39224243164062
2	k_rope	16	decode	e9b7ed8c3dcea5e4990c17cd20caae99308ecc10b376a4b5ef8136dce5043989	276.1328293354474	0	116	0x432eb267	174.69688415527344
2	k_rope	17	decode	37f2a8109ccea9088f583070f1f465a0d6f6c41c5573e006c897f1dd913f4114	339.45888217443024	2	116	0xc31c187f	-156.09568786621094
2	v_heads	0	prefill	399e27b7ae4d8d04824e531fe1e9d0b7dfc8780390c74395286fe2ec26bba0eb	8.159179688284773	3	94	0xc03442de	-2.8165812492370605
2	v_heads	1	prefill	1e739d4f06e4e5d0ceafc905e1ebc3c252fa3a10f766e834e7d479e27a0e5d4f	4.294349061658029	2	83	0xbf4666c2	-0.7750054597854614
2	v_heads	2	prefill	c344993f55e3c6d0c6200572ce7fee520f8d6a7f2fb2250dea64f8d83ab64c4a	4.686887632058129	1	113	0xbf0fe269	-0.5620484948158264
2	v_heads	3	prefill	fd307259a81b104912245b4ac6edaf238cfd0907eb6d294c8b9d014802e0e6a8	4.699406781322755	1	113	0xbf1ae91f	-0.6051196455955505
2	v_heads	4	prefill	052c533c5ca636bc45ee3686d6ce70b02992bd109ba97ad8e9d380c5858f9707	4.359730410410649	7	50	0xbee65ffc	-0.44995105266571045
2	v_heads	5	prefill	2629e3b68b60e5c8989c6dceecbef8f5b25fc5fce976ef594ea76d3ce0355a60	4.605663293486019	2	112	0x3f076898	0.5289397239685059
2	v_heads	6	prefill	192f123accdab3f3ab7f1f41dadc0454fdbd332a5ba5fc054e13b26fe4f2040c	2.8007722475899173	4	112	0xbee7d2d9	-0.45278051495552063
2	v_heads	7	prefill	9ccf9ca0088b92f04ec8ca7635636bec9e6f8a4dcac2d1f6e4eae0fc12e92096	4.528165485773354	4	91	0x3f2035b8	0.6258196830749512
2	v_heads	8	prefill	b8197790da698c0d1fda815d883d31565152c1256febeafeb395cdac35b8c764	4.667338419163262	1	113	0xbf0a9a0e	-0.5414131879806519
2	v_heads	9	prefill	009778ac1b9d659f8dd20b4ed7db95a02519a39e703d45c96ffdf5fcd3aeec7a	3.160253418538071	7	52	0x3f0b3877	0.5438303351402283
2	v_heads	10	decode	e6addc1009da6d199ebeea514ddad3e2265313c995598fb7ac9ec06f77bb0438	2.4994755899797005	6	17	0xbecac091	-0.3960004150867462
2	v_heads	11	decode	1c04d63b5354b27b402711f5161bebca9d31861f559e4b4c32dec77d4da7446d	4.498783250893999	2	83	0xbf3be896	-0.7340177297592163
2	v_heads	12	decode	445f9be0e46cdf7e51a63e2ff400d54c4d9c1accb9805b5ac67c8319d05d4d2f	4.907644047882634	1	113	0xbf3bde76	-0.7338632345199585
