position	lane	cos_hex	cos	sin_hex	sin
11	16	0x3f70aae4	0.9401075839996338	0x3eae878c	0.340877890586853
11	17	0x3f760210	0.9609689712524414	0x3e8da5df	0.2766561210155487
11	18	0x3f797f1a	0.9745956659317017	0x3e6558d4	0.2239716649055481
11	19	0x3f7bc53b	0.9834782481193542	0x3e395ef5	0.18102629482746124
11	20	0x3f7d4030	0.9892606735229492	0x3e15ab75	0.14616186916828156
11	21	0x3f7e36ab	0.9930216670036316	0x3df18637	0.1179317757487297
11	22	0x3f7ed6e6	0.9954665899276733	0x3dc2ca20	0.09511208534240723
11	23	0x3f7f3f04	0.9970552921295166	0x3d9d0d8d	0.07668600231409073
11	24	0x3f7f82a8	0.9980874061584473	0x3d7d34fb	0.06181810423731804
11	25	0x3f7fae99	0.9987578988075256	0x3d4c172a	0.04982677847146988
11	26	0x3f7fcb22	0.9991933107376099	0x3d247d16	0.04015835374593735
11	27	0x3f7fddab	0.9994761347770691	0x3d04907a	0.03236434608697891
11	28	0x3f7fe9b4	0.9996597766876221	0x3cd5aa3e	0.026082154363393784
11	29	0x3f7ff185	0.9997790455818176	0x3cac2fe6	0.02101893350481987
11	30	0x3f7ff699	0.9998565316200256	0x3c8ac25c	0.016938380897045135
11	31	0x3f7ff9e5	0.9999068379402161	0x3c5fa3cd	0.01364989299327135
11	32	0x3f7ffc09	0.999939501285553	0x3c34386b	0.010999779216945171
11	33	0x3f7ffd6d	0.999960720539093	0x3c113aef	0.008864148519933224
11	34	0x3f7ffe54	0.9999744892120361	0x3bea10fc	0.007143137976527214
11	35	0x3f7ffeea	0.9999834299087524	0x3bbc9eff	0.005756258498877287
11	36	0x3f7fff4c	0.9999892711639404	0x3b97ffc5	0.004638644400984049
11	37	0x3f7fff8b	0.9999930262565613	0x3b74f994	0.003738020546734333
11	38	0x3f7fffb4	0.9999954700469971	0x3b456949	0.0030122569296509027
11	39	0x3f7fffcf	0.999997079372406	0x3b1f151a	0.002427405212074518
11	40	0x3f7fffe0	0.9999980926513672	0x3b003204	0.001956106163561344
11	41	0x3f7fffeb	0.9999987483024597	0x3ace9c4c	0.0015763132832944393
11	42	0x3f7ffff3	0.9999992251396179	0x3aa67ed8	0.0012702597305178642
