# spike	reduction-tree-width-table
# mode	TreeWidthTable
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_apple9	true
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# concurrent_build_processes_before	0
# executable_sha256_before	5d7d2d13daffbf05d002c2cf7438522bf303fd688f9c69b1017eebf5a427938e
# load_before	2.94 2.77 3.19
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	production	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
16	1320	21120	single-workgroup-tree	4	330	-	4	16	2	30	64	121.917	128.875	160.250	31.746	851.959	920.209	1002.708	54.646	11.5880	12.5609	1.3713	measured
16	1320	21120	single-workgroup-tree	5	264	-	5	32	2	30	64	135.583	145.875	183.042	18.538	1662.209	1865.209	1905.333	75.852	24.2322	27.2910	1.4983	measured
16	1320	21120	single-workgroup-tree	6	220	-	6	32	2	30	64	123.084	139.958	172.417	19.185	949.791	1079.125	1159.917	67.236	13.1223	14.9074	1.3718	measured
16	1320	21120	single-workgroup-tree	8	165	-	8	32	2	30	64	117.500	130.750	151.334	13.303	728.834	819.458	870.625	49.029	9.7037	10.9319	0.9894	measured
16	1320	21120	single-workgroup-tree	10	132	-	10	48	2	30	64	125.500	135.541	175.375	37.693	1101.708	1297.125	1345.500	62.531	15.4954	18.4378	1.5908	measured
16	1320	21120	single-workgroup-tree	11	120	-	11	48	2	30	64	119.042	128.583	160.625	16.629	455.500	502.791	548.000	54.617	5.3406	5.9398	1.1309	measured
16	1320	21120	single-workgroup-tree	12	110	-	12	48	2	30	64	125.792	140.166	167.666	18.013	1044.000	1270.417	1368.875	88.711	14.5747	17.9405	1.6940	measured
16	1320	21120	single-workgroup-tree	15	88	-	15	64	2	30	64	118.084	127.125	171.292	19.963	539.250	606.208	705.584	51.672	6.6852	7.6045	1.1371	measured
16	1320	21120	single-workgroup-tree	20	66	-	20	80	2	30	64	111.625	125.916	176.291	32.673	414.625	458.083	532.542	37.800	4.8095	5.2725	1.1186	measured
16	1320	21120	single-workgroup-tree	22	60	-	22	96	2	30	64	114.083	125.000	168.417	20.769	680.792	754.292	901.667	82.561	8.9954	9.9888	1.6402	measured
16	1320	21120	single-workgroup-tree	24	55	-	24	96	2	30	64	115.333	126.875	171.584	32.468	394.833	467.542	533.666	53.581	4.4365	5.4074	1.3659	measured
16	1320	21120	single-workgroup-tree	30	44	-	30	128	2	30	64	115.292	126.333	168.750	36.252	664.375	728.708	782.792	44.437	8.7156	9.5615	1.2808	measured
16	1320	21120	single-workgroup-tree	33	40	-	33	144	2	30	64	113.500	125.459	163.666	20.613	401.250	468.292	503.958	33.898	4.5675	5.4418	0.8653	measured
16	1320	21120	single-workgroup-tree	40	33	-	40	160	2	30	64	111.542	126.250	163.292	19.256	395.791	431.959	485.417	46.044	4.5119	4.8525	1.0365	measured
16	1320	21120	single-workgroup-tree	44	30	-	44	176	2	30	64	113.083	128.416	168.541	19.847	639.125	701.916	787.625	48.235	8.3499	9.1032	1.0807	measured
16	1320	21120	single-workgroup-tree	55	24	-	55	224	2	30	64	113.875	124.333	174.542	22.545	380.125	451.750	490.750	39.221	4.2262	5.1971	0.9804	measured
16	1320	21120	single-workgroup-tree	60	22	-	60	240	2	30	64	114.791	126.458	171.250	30.593	538.125	574.750	613.208	34.509	6.7196	7.1157	1.0334	measured
16	1320	21120	single-workgroup-tree	66	20	-	66	272	2	30	64	115.042	126.250	167.958	19.680	389.584	427.917	501.083	35.888	4.3578	4.7884	0.8820	measured
16	1320	21120	single-workgroup-tree	88	15	-	88	352	2	30	64	114.959	125.583	168.000	20.488	456.417	500.333	544.125	45.465	5.4200	5.9484	1.0469	measured
16	1320	21120	single-workgroup-tree	110	12	-	110	448	2	30	64	112.125	126.250	169.541	21.422	693.416	757.833	809.042	47.727	9.2268	10.0251	1.0976	measured
16	1320	21120	single-workgroup-tree	120	11	-	120	480	2	30	64	115.042	124.667	172.042	37.937	413.417	479.833	499.084	38.855	4.7361	5.6376	1.2189	measured
