sample_index	series_key	observation_index	duration_ns
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	22	3863667
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	23	3861792
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	24	3864459
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	25	3874375
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	26	3869708
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	27	3859375
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	28	3871250
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	29	3868375
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	30	3865209
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	31	3883375
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	32	3861834
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	33	3855000
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	34	3868667
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	35	3862875
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	36	3860375
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	37	3862750
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	38	3859833
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	39	3865625
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	40	3863166
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	41	3853583
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	42	3872959
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	43	3858334
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	44	3869959
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	45	3858958
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	46	3859000
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	47	3866500
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	48	3853958
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	49	3860542
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	0	6606167
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	1	6613709
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	2	6609750
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	3	6609750
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	4	6610583
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	5	6605875
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	6	6610625
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	7	6605958
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	8	6597584
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	9	6610125
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	10	6601583
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	11	6588875
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	12	6607417
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	13	6604208
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	14	6596416
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	15	6598584
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	16	6597875
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	17	6588375
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	18	6601167
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	19	6600084
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	20	6591042
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	21	6600958
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	22	6587959
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	23	6580292
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	24	6599667
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	25	6604625
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	26	6597459
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	27	6602000
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	28	6601083
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	29	6587167
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	30	6599834
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	31	6596791
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	32	6596000
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	33	6620375
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	34	6606792
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	35	6579166
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	36	6591458
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	37	6604917
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	38	6599333
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	39	6595875
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	40	6596584
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	41	6584959
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	42	6608958
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	43	6597291
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	44	6604750
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	45	6609458
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	46	6589250
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	47	6584708
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	48	6593458
3	3:request-five-specialist:targets=1:providers=1:kind=propose:program=five-op	49	6583625
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	0	3076125
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	1	3057625
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	2	3052000
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	3	3053083
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	4	3077209
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	5	3054083
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	6	3049833
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	7	3061125
4	4:request-add-four-groups:targets=1:providers=1:kind=propose:program=add-chain	8	3050208
