# cache-hot-path-efficiency; host=Darwin 27.0.0; cpus=14; rustc=rustc 1.99.0-nightly (eff8269f7 2026-07-18)
# cpu=Apple M4 Max
# scratch root=/var/folders/7k/00gbj8p92d938w7bqf3k78040000gn/T/tiler-cache-hot-path-efficiency-37973-1785876204365466000
# load average at start={ 3.99 10.15 14.42 }
# repeats=8000 warmup=64 cold-children=48 publish-rounds=128 scan-repeats=15 populations=[10, 100, 1000, 10000]
# envelope fixed overhead=28527 bytes; compiled in 5.432541ms
# load average at end={ 4.37 9.72 14.14 }
# total wall clock=23.166255s
kind	section	size_bytes	population	variant	samples	min_ns	p50_ns	p90_ns	max_ns	note
fact	decompose	47803	10000	share	-	-	-	-	-	open-and-read: 12166 ns, 18.0% of the whole hit
fact	decompose	47803	10000	share	-	-	-	-	-	bundle-section-digests: 16125 ns, 23.9% of the whole hit
fact	decompose	47803	10000	share	-	-	-	-	-	key-derivations: 166 ns, 0.2% of the whole hit
fact	decompose	47803	10000	share	-	-	-	-	-	path-form-and-parse: 292 ns, 0.4% of the whole hit
fact	decompose	47803	10000	share	-	-	-	-	-	decode-artifact: 36458 ns, 54.0% of the whole hit
fact	decompose	47803	10000	validation-share	-	-	-	-	-	fail-closed integrity (bundle section digests + decode_artifact) costs 52583 ns, 77.9% of the whole hit
timing	decompose	47803	10000	caller-owned-copy	2000	708	958	1208	8125	-
timing	lock	47803	10000	acquire-release-uncontended	2000	15291	15625	16000	48875	-
fact	lock	47803	10000	held-by-another-process	-	-	-	-	-	a non-blocking acquisition was refused while the child held the lock
timing	lock	47803	10000	hit-while-key-lock-held	2000	67333	75750	82292	162416	-
timing	scan	47803	10000	collect-age-removing-all	1	864235250	864235250	864235250	864235250	-
fact	scan	47803	10000	removal-cost-per-entry	-	-	-	-	-	864235250 ns over 10000 entries, 86423 ns each, 481338890 bytes reclaimed
