# spike	reduction-dispatch-crossover
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	16
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	2.93 3.09 4.46
rows	contributors	elements	partitions	per_partition	strategy	encoders	widest_workgroup	threadgroup_bytes	stages	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	oracle
4	4096	16384	64	64	single-workgroup-tree	2	64	256	16384:16384:1|256:16640:128	30	16	127.000	182.875	194.500	15.764	206.041	232.375	270.375	25.715	5.2694	3.3000	2.7653	closed-form
4	4096	16384	64	64	multi-pass-split	3	1	0	16384:16384:1|256:16384:64|4:256:64	30	16	155.625	184.625	190.667	25.950	226.083	258.250	291.333	25.476	4.6972	4.9083	3.4284	closed-form
4	8192	32768	128	64	serial-fold	2	1	0	32768:32768:1|4:32768:8192	30	16	743.833	770.500	841.459	54.993	9325.958	9400.292	9468.583	46.129	572.1417	575.3195	6.7415	closed-form
4	8192	32768	128	64	single-workgroup-tree	2	128	512	32768:32768:1|512:33280:192	30	16	175.875	198.458	232.250	18.151	326.375	368.625	397.583	31.059	10.0333	11.3445	3.2807	closed-form
4	8192	32768	128	64	multi-pass-split	3	1	0	32768:32768:1|512:32768:64|4:512:128	30	16	176.000	201.000	233.208	17.981	396.541	442.958	473.708	23.886	14.7027	16.1305	2.7912	closed-form
4	16384	65536	128	128	serial-fold	2	1	0	65536:65536:1|4:65536:16384	30	16	644.583	718.709	749.000	39.927	7963.500	7994.125	8034.625	38.412	487.9278	485.0277	5.2226	closed-form
4	16384	65536	128	128	single-workgroup-tree	2	128	512	65536:65536:1|512:66048:256	30	16	180.750	209.333	241.875	36.479	494.459	547.792	601.208	40.698	20.9139	22.5639	5.1452	closed-form
4	16384	65536	128	128	multi-pass-split	3	1	0	65536:65536:1|512:65536:128|4:512:128	30	16	184.625	214.875	246.458	24.147	543.875	611.625	739.666	71.662	23.9500	26.4500	6.3873	closed-form
16	4	64	2	2	serial-fold	2	1	0	64:64:1|16:64:4	30	16	140.125	184.875	195.875	18.172	186.875	215.875	223.959	11.635	3.1167	2.0667	1.9871	reference-checked
16	4	64	2	2	single-workgroup-tree	2	2	16	64:64:1|32:96:4	30	16	150.542	188.834	205.375	64.127	182.708	218.709	228.958	30.357	2.1444	1.9917	6.2989	reference-checked
16	4	64	2	2	multi-pass-split	3	1	0	64:64:1|32:64:2|16:32:2	30	16	144.291	183.792	198.666	18.392	197.709	234.083	245.958	54.930	3.5612	3.3527	4.8881	reference-checked
16	16	256	4	4	serial-fold	2	1	0	256:256:1|16:256:16	30	16	143.833	167.708	178.375	11.930	182.167	193.417	217.125	29.010	2.5556	1.7139	2.7294	reference-checked
16	16	256	4	4	single-workgroup-tree	2	4	16	256:256:1|64:320:8	30	16	140.666	168.792	181.667	33.957	182.584	202.167	229.750	29.198	2.7945	2.2250	4.2104	reference-checked
16	16	256	4	4	multi-pass-split	3	1	0	256:256:1|64:256:4|16:64:4	30	16	143.375	172.625	191.125	28.293	196.292	214.875	247.084	28.301	3.5278	2.8167	3.7730	reference-checked
16	32	512	8	4	serial-fold	2	1	0	512:512:1|16:512:32	30	16	160.625	186.584	194.792	13.325	224.542	255.208	260.708	33.476	4.2611	4.5749	3.1200	reference-checked
16	32	512	8	4	single-workgroup-tree	2	8	32	512:512:1|128:640:12	30	16	150.666	187.250	201.458	43.982	181.709	224.750	229.625	23.127	2.0695	2.5000	4.4739	reference-checked
16	32	512	8	4	multi-pass-split	3	1	0	512:512:1|128:512:4|16:128:8	30	16	158.042	186.750	211.916	19.790	201.500	233.417	247.000	15.230	2.8972	3.1111	2.3347	reference-checked
16	64	1024	8	8	serial-fold	2	1	0	1024:1024:1|16:1024:64	30	16	149.792	182.667	189.500	11.927	198.708	226.250	240.292	31.959	3.2611	2.9055	2.9257	reference-checked
16	64	1024	8	8	single-workgroup-tree	2	8	32	1024:1024:1|128:1152:16	30	16	154.000	179.458	191.375	12.131	195.209	221.666	232.167	8.953	2.7473	2.8139	1.4056	reference-checked
16	64	1024	8	8	multi-pass-split	3	1	0	1024:1024:1|128:1024:8|16:128:8	30	16	146.750	180.875	187.875	21.714	212.625	241.291	253.375	11.069	4.3917	4.0277	2.1856	reference-checked
16	128	2048	16	8	serial-fold	2	1	0	2048:2048:1|16:2048:128	30	16	157.959	187.625	197.292	13.673	328.166	358.750	368.541	26.795	11.3471	11.4083	2.6978	reference-checked
16	128	2048	16	8	single-workgroup-tree	2	16	64	2048:2048:1|256:2304:24	30	16	151.292	182.583	195.292	14.135	188.125	229.458	242.833	25.946	2.4555	3.1250	2.6721	reference-checked
16	128	2048	16	8	multi-pass-split	3	1	0	2048:2048:1|256:2048:8|16:256:16	30	16	145.250	182.542	193.583	24.435	207.458	243.583	250.833	15.592	4.1472	4.0694	2.6685	reference-checked
16	256	4096	16	16	serial-fold	2	1	0	4096:4096:1|16:4096:256	30	16	162.958	188.292	220.917	18.456	237.625	272.792	277.209	12.914	4.9778	5.6333	2.0913	reference-checked
16	256	4096	16	16	single-workgroup-tree	2	16	64	4096:4096:1|256:4352:32	30	16	157.000	188.333	209.750	25.549	195.459	229.916	237.458	30.967	2.5639	2.7722	3.7678	reference-checked
16	256	4096	16	16	multi-pass-split	3	1	0	4096:4096:1|256:4096:16|16:256:16	30	16	167.333	190.750	212.583	28.356	215.417	247.917	256.500	31.584	3.2056	3.8111	3.9960	reference-checked
16	1024	16384	32	32	serial-fold	2	1	0	16384:16384:1|16:16384:1024	30	16	173.416	198.583	204.500	25.067	487.333	518.208	553.958	37.844	20.9278	21.3083	4.1941	closed-form
16	1024	16384	32	32	single-workgroup-tree	2	32	128	16384:16384:1|512:16896:64	30	16	153.625	181.292	191.458	10.606	280.750	296.958	336.500	38.649	8.4750	7.7111	3.2837	closed-form
16	1024	16384	32	32	multi-pass-split	3	1	0	16384:16384:1|512:16384:32|16:512:32	30	16	152.583	181.125	190.333	25.824	313.291	332.250	345.375	23.258	10.7139	10.0750	3.2722	closed-form
16	2048	32768	64	32	serial-fold	2	1	0	32768:32768:1|16:32768:2048	30	16	159.916	168.584	183.625	32.353	533.334	548.792	613.625	35.984	24.8945	25.3472	4.5558	closed-form
16	2048	32768	64	32	single-workgroup-tree	2	64	256	32768:32768:1|1024:33792:96	30	16	126.292	147.959	159.209	26.430	233.084	250.125	291.166	35.029	7.1195	6.8111	4.0973	closed-form
16	2048	32768	64	32	multi-pass-split	3	1	0	32768:32768:1|1024:32768:32|16:1024:64	30	16	139.667	146.834	158.917	7.342	259.125	278.708	314.500	33.990	7.9639	8.7916	2.7554	closed-form
16	4096	65536	64	64	serial-fold	2	1	0	65536:65536:1|16:65536:4096	30	16	199.292	227.083	238.667	26.215	980.250	1046.000	1065.708	45.800	52.0639	54.5945	4.8011	closed-form
16	4096	65536	64	64	single-workgroup-tree	2	64	256	65536:65536:1|1024:66560:128	30	16	153.750	179.958	195.084	17.367	284.167	316.000	333.917	17.897	8.6945	9.0695	2.3509	closed-form
16	4096	65536	64	64	multi-pass-split	3	1	0	65536:65536:1|1024:65536:64|16:1024:64	30	16	149.209	186.750	193.334	17.588	291.042	325.292	357.542	21.229	9.4555	9.2361	2.5878	closed-form
16	8192	131072	128	64	serial-fold	2	1	0	131072:131072:1|16:131072:8192	30	16	738.041	780.375	850.459	40.339	9632.458	9672.041	9717.417	32.488	592.9611	592.7777	4.8551	closed-form
16	8192	131072	128	64	single-workgroup-tree	2	128	512	131072:131072:1|2048:133120:192	30	16	162.375	198.292	236.417	27.518	402.792	455.792	487.708	45.828	16.0278	17.1667	4.8897	closed-form
16	8192	131072	128	64	multi-pass-split	3	1	0	131072:131072:1|2048:131072:64|16:2048:128	30	16	162.166	202.000	226.834	21.422	450.542	511.792	550.375	38.620	19.2251	20.6528	4.0028	closed-form
16	16384	262144	128	128	serial-fold	2	1	0	262144:262144:1|16:262144:16384	30	16	667.792	727.250	776.458	36.668	8393.375	8451.583	8498.542	32.287	515.0389	514.9555	4.5971	closed-form
16	16384	262144	128	128	single-workgroup-tree	2	128	512	262144:262144:1|2048:264192:256	30	16	185.000	221.917	268.709	40.178	631.208	737.750	814.250	63.551	29.7472	34.3889	6.9153	closed-form
16	16384	262144	128	128	multi-pass-split	3	1	0	262144:262144:1|2048:262144:128|16:2048:128	30	16	183.667	219.833	244.125	21.796	704.791	826.000	910.916	75.442	34.7416	40.4111	6.4826	closed-form
64	4	256	2	2	serial-fold	2	1	0	256:256:1|64:256:4	30	16	158.208	169.584	182.583	24.785	184.208	223.042	249.459	36.943	1.7333	3.5639	4.1152	reference-checked
64	4	256	2	2	single-workgroup-tree	2	2	16	256:256:1|128:384:4	30	16	160.417	172.208	185.125	9.921	186.125	220.000	247.792	20.422	1.7139	3.1861	2.0229	reference-checked
64	4	256	2	2	multi-pass-split	3	1	0	256:256:1|128:256:2|64:128:2	30	16	163.792	172.875	186.125	30.715	207.291	238.834	277.542	25.599	2.8999	4.3973	3.7543	reference-checked
64	16	1024	4	4	serial-fold	2	1	0	1024:1024:1|64:1024:16	30	16	156.750	175.875	194.083	14.483	195.125	222.042	227.750	30.824	2.5583	3.0778	3.0205	reference-checked
64	16	1024	4	4	single-workgroup-tree	2	4	16	1024:1024:1|256:1280:8	30	16	151.583	178.416	198.417	16.249	198.542	229.167	233.541	10.311	3.1306	3.3834	1.7707	reference-checked
64	16	1024	4	4	multi-pass-split	3	1	0	1024:1024:1|256:1024:4|64:256:4	30	16	159.666	187.458	204.292	61.674	212.125	244.750	249.958	11.498	3.4973	3.8195	4.8781	reference-checked
64	32	2048	8	4	serial-fold	2	1	0	2048:2048:1|64:2048:32	30	16	164.291	184.500	208.917	58.423	222.417	254.666	269.667	30.065	3.8751	4.6777	5.8992	reference-checked
64	32	2048	8	4	single-workgroup-tree	2	8	32	2048:2048:1|512:2560:12	30	16	153.500	187.042	201.792	27.972	190.041	223.459	234.875	14.939	2.4361	2.4278	2.8607	reference-checked
64	32	2048	8	4	multi-pass-split	3	1	0	2048:2048:1|512:2048:4|64:512:8	30	16	155.666	188.167	204.000	12.727	208.208	245.833	257.333	15.681	3.5028	3.8444	1.8939	reference-checked
64	64	4096	8	8	serial-fold	2	1	0	4096:4096:1|64:4096:64	30	16	158.875	182.583	208.542	28.302	198.292	225.125	242.208	16.354	2.6278	2.8361	2.9771	reference-checked
64	64	4096	8	8	single-workgroup-tree	2	8	32	4096:4096:1|512:4608:16	30	16	151.791	174.875	200.875	16.820	186.917	221.375	237.791	29.577	2.3417	3.1000	3.0931	reference-checked
64	64	4096	8	8	multi-pass-split	3	1	0	4096:4096:1|512:4096:8|64:512:8	30	16	151.375	186.208	204.583	34.540	203.750	246.167	261.417	26.269	3.4917	3.9973	4.0539	reference-checked
64	128	8192	16	8	serial-fold	2	1	0	8192:8192:1|64:8192:128	30	16	172.250	196.084	248.667	27.161	382.667	438.917	449.542	20.620	14.0278	16.1889	3.1854	closed-form
64	128	8192	16	8	single-workgroup-tree	2	16	64	8192:8192:1|1024:9216:24	30	16	157.833	185.292	203.375	24.328	214.709	238.125	276.792	30.558	3.7917	3.5222	3.6591	closed-form
64	128	8192	16	8	multi-pass-split	3	1	0	8192:8192:1|1024:8192:8|64:1024:16	30	16	160.917	186.042	209.458	34.651	221.750	259.083	266.334	13.515	4.0555	4.8694	3.2111	closed-form
64	256	16384	16	16	serial-fold	2	1	0	16384:16384:1|64:16384:256	30	16	156.917	171.500	211.417	18.183	240.875	258.959	287.500	15.972	5.5972	5.8306	2.2770	closed-form
64	256	16384	16	16	single-workgroup-tree	2	16	64	16384:16384:1|1024:17408:32	30	16	158.083	174.250	200.958	33.285	191.209	204.542	241.000	39.685	2.2084	2.0195	4.8647	closed-form
64	256	16384	16	16	multi-pass-split	3	1	0	16384:16384:1|1024:16384:16|64:1024:16	30	16	160.916	178.541	217.208	39.520	212.625	245.834	261.291	28.594	3.4473	4.4862	4.5409	closed-form
64	1024	65536	32	32	serial-fold	2	1	0	65536:65536:1|64:65536:1024	30	16	161.542	183.417	209.291	23.112	496.167	543.709	597.375	46.850	22.3083	24.0195	4.6641	closed-form
64	1024	65536	32	32	single-workgroup-tree	2	32	128	65536:65536:1|2048:67584:64	30	16	143.250	162.416	187.916	16.524	291.792	329.000	352.083	24.333	9.9028	11.1056	2.7238	closed-form
64	1024	65536	32	32	multi-pass-split	3	1	0	65536:65536:1|2048:65536:32|64:2048:32	30	16	124.666	172.541	197.084	31.780	321.375	369.625	375.583	26.610	13.1139	13.1389	3.8927	closed-form
64	2048	131072	64	32	serial-fold	2	1	0	131072:131072:1|64:131072:2048	30	16	184.208	213.750	220.959	24.282	644.833	686.875	762.458	39.962	30.7083	31.5417	4.2829	closed-form
64	2048	131072	64	32	single-workgroup-tree	2	64	256	131072:131072:1|4096:135168:96	30	16	163.375	194.834	203.791	14.120	314.125	363.834	397.042	36.562	10.0500	11.2667	3.3788	closed-form
64	2048	131072	64	32	multi-pass-split	3	1	0	131072:131072:1|4096:131072:32|64:4096:64	30	16	168.292	196.291	206.084	13.794	333.333	377.834	402.167	22.422	11.0027	12.1029	2.4144	closed-form
64	4096	262144	64	64	serial-fold	2	1	0	262144:262144:1|64:262144:4096	30	16	207.291	222.541	237.709	21.701	1154.333	1204.209	1259.000	37.966	63.1361	65.4445	3.9778	closed-form
64	4096	262144	64	64	single-workgroup-tree	2	64	256	262144:262144:1|4096:266240:128	30	16	161.875	182.083	199.833	13.758	437.500	468.834	508.750	24.437	18.3750	19.1167	2.5464	closed-form
64	4096	262144	64	64	multi-pass-split	3	1	0	262144:262144:1|4096:262144:64|64:4096:64	30	16	162.167	183.250	195.625	26.245	434.458	499.500	533.500	45.509	18.1527	21.0833	4.7836	closed-form
64	8192	524288	128	64	serial-fold	2	1	0	524288:524288:1|64:524288:8192	30	16	818.583	846.750	920.292	33.486	10691.833	10750.500	10804.458	42.611	658.2167	660.2500	5.0731	closed-form
64	8192	524288	128	64	single-workgroup-tree	2	128	512	524288:524288:1|8192:532480:192	30	16	180.000	212.500	253.334	24.306	659.250	744.917	853.042	77.404	31.9500	35.4945	6.7806	closed-form
64	8192	524288	128	64	multi-pass-split	3	1	0	524288:524288:1|8192:524288:64|64:8192:128	30	16	186.917	207.375	251.833	36.806	736.083	833.083	888.042	58.806	36.6111	41.7139	6.3742	closed-form
64	16384	1048576	128	128	serial-fold	2	1	0	1048576:1048576:1|64:1048576:16384	30	16	738.166	758.959	772.084	27.429	9601.459	9845.916	10055.708	153.319	590.8862	605.7971	12.0499	closed-form
64	16384	1048576	128	128	single-workgroup-tree	2	128	512	1048576:1048576:1|8192:1056768:256	30	16	218.834	235.166	245.125	27.000	1161.250	1226.333	1290.250	49.373	62.8277	66.0778	5.0915	closed-form
64	16384	1048576	128	128	multi-pass-split	3	1	0	1048576:1048576:1|8192:1048576:128|64:8192:128	30	16	231.542	241.000	273.083	29.172	1252.042	1315.541	1425.584	66.728	68.0333	71.6361	6.3934	closed-form
